Word,Frequency
the,11
in,8
mcdonald,8
s,8
and,7
a,7
food,5
is,4
more,4
they,4
to,4
there,3
restaurants,3
world,3
serve,3
of,3
it,3
many,2
but,2
famous,2
million,2
customers,2
brothers,2
new,2
called,2
was,2
so,2
made,2
for,2
first,2
company,2
dollars,2
m,2
are,1
probably,1
most,1
has,1
than,1
around,1
countries,1
about,1
every,1
day,1
story,1
began,1
when,1
two,1
richard,1
maurice,1
mac,1
opened,1
restaurant,1
barbeque,1
successful,1
business,1
wanted,1
sell,1
make,1
money,1
some,1
changes,1
example,1
tried,1
way,1
cook,1
faster,1
became,1
one,1
fast,1
addition,1
menu,1
simple,1
hamburgers,1
cheeseburgers,1
sodas,1
milkshakes,1
were,1
no,1
longer,1
any,1
waitresses,1
ordered,1
by,1
themselves,1
at,1
counter,1
man,1
ray,1
kroc,1
joined,1
later,1
bought,1
now,1
worth,1
billions,1
museum,1
that,1
located,1
san,1
bernardino,1
california,1
where,1
built,1
open,1
daily,1
from,1
p,1
